,Angle,DecisionTreeRegressor(),RandomForestRegressor(),SVR(),KNeighborsRegressor()
0,330.0,330.0,328.35000000000053,364.21497803481276,328.0
1,355.0,355.0,350.94999999999993,136.86163408325086,355.0
2,290.0,275.0,273.1499999999998,253.91845686859472,278.00000000000006
3,50.0,45.0,49.40000000000003,80.39517758536388,47.99999999999999
4,300.0,305.0,301.3500000000002,295.2764238289329,295.0
5,0.0,0.0,0.0,92.85885879967397,0.0
6,80.0,75.0,72.54999999999998,87.18813900589781,71.00000000000001
7,59.99999999999999,55.0,56.64999999999993,86.79902965313066,61.99999999999999
8,14.999999999999998,14.999999999999995,14.999999999999991,-15.30141439495802,14.999999999999998
9,0.0,0.0,0.0,85.62811874732672,0.0
10,75.0,70.00000000000001,69.9,81.85055678424737,61.00000000000001
11,330.0,330.0,328.7000000000006,367.28408532372634,327.0
12,85.0,85.0,85.44999999999989,76.12000755842233,78.99999999999999
13,345.0,345.0,344.3499999999997,307.7839279010962,344.00000000000006
14,290.0,270.0,273.80000000000007,267.7718131390703,276.99999999999994
15,280.0,280.0,281.65,281.0922130517767,282.99999999999994
16,25.0,25.0,25.650000000000038,20.63582180433992,32.99999999999999
17,335.0,330.0,330.05000000000064,359.8895744449562,332.00000000000006
18,10.0,5.0,7.549999999999993,14.832069985714531,10.0
19,25.0,25.0,24.950000000000042,-8.39630692426766,26.0
20,270.0,280.0,281.84999999999997,282.1277732159992,278.00000000000006
21,59.99999999999999,65.0,65.15000000000005,78.05813137191396,59.99999999999999
22,310.0,315.0,312.94999999999936,298.3953790526126,312.99999999999994
23,5.0,5.0,5.7999999999999945,32.934548063677596,5.0
24,320.0,315.0,313.79999999999956,317.6756990532538,312.0
25,25.0,25.0,25.800000000000033,2.8930670966741023,28.0
26,85.0,59.99999999999999,71.85000000000002,92.6474403775766,64.0
27,55.0,55.0,55.04999999999992,79.80957035348452,60.99999999999999
28,320.0,330.0,326.7000000000004,363.242009813313,328.0
29,295.0,295.0,293.75000000000017,288.19801205953064,291.0
30,355.0,355.0,354.44999999999993,169.60889990576976,353.99999999999994
31,59.99999999999999,59.99999999999999,59.349999999999945,83.76516087347375,58.0
32,90.0,85.0,83.24999999999993,91.28184522921178,81.0
33,50.0,45.0,41.14999999999999,61.08684347665683,41.99999999999999
34,285.0,275.0,275.70000000000005,261.42996159331625,280.99999999999994
35,350.0,350.0,350.1499999999996,214.93996472927623,352.0
36,50.0,45.00000000000001,43.150000000000006,72.0667118320456,41.99999999999999
37,280.0,295.0,288.29999999999995,260.63843933797176,284.0
38,50.0,45.00000000000001,43.05000000000003,67.33339735459452,41.0
39,345.0,340.0,344.3499999999995,263.2959435630566,347.0
40,345.0,345.0,344.5999999999997,312.5861086146697,341.99999999999994
41,345.0,345.0,345.4499999999997,282.8381769633899,345.99999999999994
42,0.0,0.0,0.0,94.97079376801973,0.0
43,300.0,280.0,281.84999999999997,282.18720351160084,278.0
44,45.0,45.0,43.95000000000003,49.31388339100975,42.99999999999999
45,295.0,295.0,292.85000000000014,263.30424587740646,295.0
46,285.0,285.0,283.94999999999965,271.20364168630084,282.99999999999994
47,315.0,315.0,316.29999999999933,342.1768399438499,318.99999999999994
48,14.999999999999998,14.999999999999995,14.999999999999991,-14.323289307908093,14.999999999999998
49,80.0,75.0,73.75,83.763166428721,74.0
50,310.0,305.0,304.4500000000004,278.6624217163473,298.0
51,85.0,85.0,85.94999999999996,70.52937771860343,84.00000000000001
52,5.0,5.0,4.999999999999995,52.01286030259991,5.0
53,295.0,295.0,293.75000000000017,288.19801205953064,291.0
54,45.0,45.00000000000001,44.95000000000006,65.30212674656937,45.0
55,20.0,20.0,20.899999999999984,-9.538520045356469,24.0
56,310.0,310.0,310.29999999999967,321.3769186408502,312.0
57,355.0,355.0,354.44999999999993,156.55620105672955,353.0
58,335.0,335.0,335.3500000000003,333.0005523542806,337.0
59,14.999999999999998,20.0,19.899999999999977,-18.26843339760983,16.0
60,350.0,350.0,351.19999999999965,188.76871007362612,352.0
61,5.0,5.0,4.999999999999995,41.78004215679466,5.0
62,335.0,335.0,335.15000000000026,367.87440246171644,332.0
63,285.0,285.0,282.8499999999997,278.3929023288902,279.0
64,25.0,25.0,21.949999999999996,-14.898135778807852,22.999999999999996
65,280.0,285.0,280.6499999999996,268.8600309149997,288.0
66,290.0,285.0,291.09999999999997,264.86962690573347,282.99999999999994
67,75.0,80.0,82.59999999999992,72.87867309954613,83.0
68,90.0,85.0,85.94999999999996,70.65622403951242,84.00000000000001
69,35.0,35.0,34.95,18.40292744754039,34.0
70,290.0,275.0,272.34999999999997,255.92610905841227,275.0
71,355.0,355.0,353.74999999999983,195.47343972057675,351.0
